Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster
485_562,2012,Canada,Human,Human,Human,CAN,714
485_14977,2017,Australia,Human,,,AUS,24
485_13068,2017,Australia,Human,,,AUS,4
485_14852,2017,Australia,Human,,,AUS,5
485_12997,2017,Australia,Human,,,AUS,4
485_805,2010,Canada,Human,Human,Human,CAN,1
485_4376,2012,USA,Human,Human,Human,USA,1
485_209,2010,USA,Human,Human,Human,USA,1
485_9185,2013,United Kingdom,Human,Human,Human,GBR,2
485_13613,2017,Australia,Human,,,AUS,2
485_4458,2013,USA,Human,Human,Human,USA,2
485_9281,2015,United Kingdom,Human,Human,Human,GBR,119
485_9222,2013,United Kingdom,Human,Human,Human,GBR,26
485_14034,2017,Australia,Human,,,AUS,108
485_16737,2017,Australia,Human,,,AUS,28
485_212,2010,USA,Human,Human,Human,USA,1
485_14883,2017,Australia,Human,,,AUS,12
485_779,2010,Canada,Human,Human,Human,CAN,69
485_17060,2017,Australia,Human,,,AUS,2
485_14866,2017,Australia,Human,,,AUS,7
485_210,2009,USA,Human,Human,Human,USA,1
485_17847,2011,Poland,Human,,,POL,1
485_9128,2013,United Kingdom,Human,Human,Human,GBR,1
485_282,2009,USA,Human,Human,Human,USA,948
485_17454,2017,Australia,Human,,,AUS,5
485_14284,2017,Australia,Human,,,AUS,5
485_14393,2017,Australia,Human,,,AUS,9
485_13993,2017,Australia,Human,,,AUS,21
485_286,2009,USA,Human,Human,Human,USA,1
485_13280,2017,Australia,Human,,,AUS,1187
485_9652,2006,Australia,Human,Human,Human,AUS,10
485_8445,2015,United Kingdom,Human,Human,Human,GBR,13
485_13196,2017,Australia,Human,,,AUS,9
485_14951,2017,Australia,Human,,,AUS,45
485_9755,2015,Ireland,Human,Human,Human,IRL,2
485_8316,2016,United Kingdom,Human,Human,Human,GBR,23
485_16463,2017,Australia,Human,,,AUS,61
485_17646,2017,Australia,Human,,,AUS,7
485_123,2010,USA,Human,Human,Human,USA,33
485_15525,2017,Australia,Human,,,AUS,4
485_9618,2015,Japan,Human,Human,Human,JPN,20
485_9526,2015,Japan,Human,Human,Human,JPN,20
485_14564,2017,Australia,Human,,,AUS,3
485_753,2009,Canada,Human,Human,Human,CAN,1
485_3745,2013,USA,Human,Human,Human,USA,14
485_846,2012,Canada,Human,Human,Human,CAN,557
485_12899,2017,Australia,Human,,,AUS,2
485_4056,2013,USA,Human,Human,Human,USA,2
485_15636,2017,Australia,Human,,,AUS,12
485_9722,2013,Australia,Human,Human,Human,AUS,6
485_16753,2017,Australia,Human,,,AUS,23
