Genome ID,amoxicillin_clavulanic acid,ampicillin,azithromycin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftiofur,ceftriaxone,cephalosporin,chloramphenicol,ciprofloxacin,ertapenem,furazolidone,gentamicin,kanamycin,meropenem,nalidixic acid,netilmicin,ofloxacin,pefloxacin,spectinomycin,streptomycin,sulfamethoxazole,sulfisoxazole,sulfonamides,tetracycline,tigecycline,trimethoprim,trimethoprim_sulfamethoxazole
85569_156,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_5492,,S,S,,,,S,,S,,S,R,S,,S,,S,,,,,,,,,,S,,,S
90371_5398,R,R,,,,,S,,S,,R,R,,,S,,,S,,S,,,,,,,,,R,
54388_366,,S,S,,,,S,,S,,S,S,S,,S,,S,S,,,S,,,,,,S,,,S
28901_809,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
192955_437,,R,S,,,S,S,,S,,S,S,,,S,S,,S,S,,,S,S,,,S,S,,S,
90371_5337,S,R,,,,,S,,S,,R,S,,,S,,,S,,S,,,,,,,,,R,
90370_3482,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90371_5454,,R,,,S,,S,,S,,R,,S,,S,,S,S,,,S,,,,,,S,,,R
590_15025,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_15528,S,R,,,,S,,,S,,S,S,,,R,,,S,,,,,,,S,,R,,,S
590_16583,R,R,,,,R,,,R,,R,S,,,S,,,S,,,,,,,,,R,,,S
90370_3149,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
590_14995,S,S,,,,S,,,S,,S,S,,,R,,,S,,,,,,,,,R,,,S
85569_38,,S,,,,,,,,,S,,,,,,,S,,,,,R,,,R,S,,S,
59201_4150,,R,S,,,,,,R,,R,S,,,,,S,,,,,,,,,,,S,,R
590_14465,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90370_5493,,R,S,,,,S,,S,,R,R,S,,S,,S,R,,,R,,,,,,R,,,R
98360_99,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,S,,R,,S,,,S
90370_2504,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90371_2136,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
85569_140,,R,,,,,,,,,R,S,,S,R,S,,R,S,,,R,R,,,R,R,,S,
590_16163,S,S,,,,S,,,S,,S,R,,,S,,,S,,,,,,,S,,R,,,S
590_14755,S,S,,,,S,,,S,,S,S,,,R,,,S,,,,,,,S,,R,,,S
85569_50,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
28901_813,S,S,S,,,S,,S,S,,S,S,,,R,,,S,,,,,R,,R,,R,,,S
85569_325,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
590_12359,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_12500,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
85569_238,,R,,,,,,,,,S,S,,S,S,S,,S,S,,,S,R,,,R,R,,S,
85569_328,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_4960,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_4789,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_16472,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_820,S,S,S,,,S,,,S,,S,S,,,S,,,S,,,,,S,,S,,R,,,S
590_12048,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_16272,,R,,,,,,S,,,,,,,S,,,,,,,,,,,,,,,S
28901_830,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
