Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_175,S,S,S,S,R,,,,S,R
485_16743,R,,,S,S,,,S,S,S
485_4811,S,S,,S,,,,,,
485_16578,S,,,S,R,,,S,S,S
485_15006,S,,,S,S,,,S,S,S
485_3966,R,S,,S,S,,,,,
485_496,R,S,,S,,,,,,
485_5157,S,S,,S,S,,,,,
485_258,S,S,R,S,R,,,,S,R
485_3898,R,S,,S,R,,,,,
485_13403,S,,,S,S,,,S,S,S
485_4317,S,S,,S,R,,,,,
485_8437,S,S,,S,R,,,,,
485_4787,S,S,,S,R,,,,,
485_7105,S,,,,S,,,,,
485_14889,S,,,S,R,,,S,S,S
485_5005,S,S,,S,R,,,,,
485_5600,S,S,,S,S,,,,,
485_236,S,S,S,S,S,,,,S,R
485_13279,S,,,S,S,,,S,S,S
485_14436,S,,,S,S,,,S,S,S
485_17753,,S,,S,R,,R,,,
485_8746,S,S,,S,S,,,,,
485_14321,S,,,S,S,,,R,S,S
485_8519,S,S,,S,R,,,,,
485_4044,R,S,,S,S,,,,,
485_5002,S,S,,S,S,,,,,
485_4845,R,S,,S,R,,,,,
485_9173,S,S,,S,,,,,,
485_16546,S,,,S,S,,,S,S,S
485_9695,S,,,S,S,,,R,S,S
485_8572,S,S,,S,S,,,,,
485_9648,S,,,S,R,,,R,S,S
485_8821,S,S,,S,,,,,,
485_14327,S,,,S,S,,,S,S,S
485_9469,S,S,,S,R,,,,,
485_799,S,S,,S,S,S,,S,S,S
485_15570,S,,,S,S,,,S,S,S
485_14996,S,,,S,R,,,R,S,
485_17597,S,,,S,S,,,R,S,S
485_13077,S,,,S,S,,,R,S,S
485_9689,S,,,S,S,,,R,S,S
485_13216,S,,,S,R,,,S,S,S
485_14032,S,,,S,S,,,S,S,S
485_588,S,S,,S,,,,,,
485_9541,S,S,,S,R,,,,,
485_3843,R,S,,S,S,,,,,
485_3907,S,S,,S,R,,,,,
485_3917,S,S,,S,R,,,,,
485_17450,S,,,S,S,,,S,S,S
485_13413,S,,,S,S,,,R,S,S
485_8816,S,S,,S,,,,,,
485_231,S,S,S,S,R,,,,S,R
485_8387,S,S,,S,S,,,,,
485_13944,S,,,S,R,,,R,S,
485_733,S,S,,S,R,R,,R,S,R
485_3807,R,S,,S,S,,,,,
485_13910,S,,,S,S,,,S,S,S
485_16417,S,,,S,S,,,S,S,S
485_13151,S,,,S,S,,,S,S,S
485_17549,S,,,S,S,,,S,S,S
485_14407,S,,,S,S,,,S,S,S
485_4179,R,S,,S,R,,,,,
485_3985,R,S,,S,R,,,,,
485_13885,S,,,S,S,,,S,S,S
485_5327,S,S,,S,S,,,,,
485_15055,S,,,S,R,,,R,S,S
485_6954,S,,,,S,,,,,
485_14808,S,,,S,S,,,S,S,
485_5506,S,S,,S,S,,,,,
485_9004,S,S,,S,S,,,,,
485_13455,S,,,S,S,,,S,S,S
485_5303,S,S,,S,S,,,,,
485_9131,S,S,,S,,,,,,
485_13000,R,,,S,S,,,S,S,S
485_13883,S,,,S,S,,,S,S,S
485_6750,S,,,,S,,,,,
