,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_24815,,,,S,,,S,,S,S,,R
1313_9326,,,,R,,,R,,S,S,,R
1313_30896,,,,S,,,S,,S,S,,R
1313_12842,,S,,R,,,,,,,,
1313_12832,,S,,R,,,,,,,,
1313_27946,,,,S,,,S,,S,S,,S
1313_10703,,S,,R,,,,,,,,
1313_23388,,,,S,,,S,,S,S,,S
1313_10654,,S,,R,,,,,,,,
1313_33914,,,,R,,,S,,S,S,,R
1313_31112,,,,R,,,S,,,S,,S
1313_10422,,S,,R,,,,,,,,
1313_28051,,,,,,,R,,S,R,,
1313_24926,,,,R,,,S,,S,S,,R
1313_23213,,,,,,,S,,S,,,
1313_22987,,,,,,,R,,R,S,,R
1313_5478,,S,,,,,S,,,S,,S
1313_12429,,S,,R,,,,,,,,
1313_33375,,,,S,,,S,,S,S,,R
1313_12309,,S,,R,,,,,,,,
1313_20540,,,,S,,,S,,,S,,S
1313_11033,,S,,R,,,,,,,,
1313_26405,,,,R,,,R,,S,,,R
1313_9277,,,,S,,,S,,S,S,,S
1313_9194,,,,R,,,R,,R,S,,R
1313_23161,,,,,,,S,,S,,,
1313_26096,,,,R,,,,,R,,,
1313_10093,,S,,R,,,,,,,,
1313_46751,,S,S,S,,S,S,,,S,,S
1313_22517,,,,R,,,S,,S,S,,S
1313_10575,,S,,R,,,,,,,,
1313_26028,,,,R,,,,,R,,,
1313_26474,,,,S,,,S,,S,S,,R
1313_25143,,,,R,,,,,S,,,
1313_24397,,,,R,,,R,,R,S,,R
1313_20657,,,,R,,,S,,R,S,,R
1313_25142,,,,,,,S,,R,S,,R
1313_9126,,,,S,,,S,,S,S,,S
1313_22083,,,,R,,,S,,S,,,S
1313_25787,,,,,,,S,,S,S,,R
1313_11503,,S,,S,,,,,,,,
1313_11183,,R,,R,,,,,,,,
1313_10954,,S,,R,,,,,,,,
1313_31221,,,,R,,,S,,,S,,R
1313_12821,,R,,R,,,,,,,,
1313_31760,,,,,,,R,,S,,,
1313_25246,,,,,,,S,,R,S,,R
1313_24609,,,,R,,,R,,R,S,,R
1313_33032,,,,S,,,,,,,,
1313_12627,,S,,R,,,,,,,,
1313_20078,,,,R,,,S,,,S,,S
1313_32086,,,,,,,S,,,S,,R
1313_24759,,,,,,,R,,R,S,,S
1313_6273,,,,,,,R,,,R,,R
1313_34474,,,,,,,S,,S,,,R
1313_32314,,,,R,,,,,R,,,
1313_11624,,S,,R,,,,,,,,
1313_12575,,S,,R,,,,,,,,
1313_11294,,S,,R,,,,,,,,
1313_10044,,S,,R,,,,,,,,
1313_28005,,,,R,,,S,,S,R,,S
1313_11204,,S,,S,,,,,,,,
1313_6311,,R,,,,,S,,,,,
1313_10620,,S,,S,,,,,,,,
1313_11139,,S,,R,,,,,,,,
1313_12295,,S,,R,,,,,,,,
1313_12936,,S,,R,,,,,,,,
760764_3,S,S,S,R,S,S,S,,S,S,S,S
1313_8807,,,,R,,,R,,R,S,,R
1313_11762,,S,,R,,,,,,,,
1313_34242,,,,S,,,R,,S,R,,S
1313_26896,,,,R,,,S,,S,S,,S
1313_23887,,,,R,,,S,,S,S,,S
1313_10445,,S,,R,,,,,,,,
1313_17098,S,S,,S,,S,S,,,,,S
1313_10238,,S,,R,,,,,,,,
1313_46986,,R,S,S,,S,S,,,S,,S
1313_32120,,,,,,,R,,R,R,,R
1313_20644,,,,R,,,R,,R,S,,S
1313_8684,,,,S,,,S,,S,S,,S
1313_46834,,S,S,R,,S,R,,,S,,S
1313_10550,,S,,R,,,,,,,,
1313_13007,,S,,R,,,,,,,,
1313_6601,,S,,,,,R,,,,,
1313_10680,,S,,R,,,,,,,,
1313_23121,,,,,,,S,,S,S,,S
1313_24736,,,,,,,S,,R,S,,R
1313_25601,,,,S,,,,,R,,,
1313_21733,,,,R,,,S,,S,,,R
1313_30660,,,,R,,,S,,,S,,
1313_32924,,,,,,,S,,S,,,R
1313_12219,,S,,R,,,,,,,,
1313_24807,,,,S,,,R,,S,S,,R
1313_24169,,,,,,,S,,,S,,R
1313_11037,,S,,S,,,,,,,,
1313_26029,,,,S,,,,,,,,
1313_23184,,,,,,,S,,S,,,
1313_25257,,,,,,,S,,S,S,,R
1313_10663,,S,,R,,,,,,,,
1313_46869,,R,S,R,,R,R,,,S,,R
1313_5959,,S,,,,,S,,,,,
1313_25322,,,,S,,,S,,S,S,,R
1313_30674,,,,R,,,S,,,S,,
1313_33274,,,,R,,,S,,S,S,,R
1313_30219,,,,,,,R,,S,,,
1313_30477,,,,,,,R,,S,,,
1313_10081,,S,,R,,,,,,,,
1313_47054,,S,S,S,,S,S,,,S,,S
1313_10636,,R,,R,,,,,,,,
1313_9991,,S,,R,,,,,,,,
1313_46736,,S,S,R,,S,S,,,S,,S
1313_11530,,S,,S,,,,,,,,
1313_23756,,,,R,,,R,,S,S,,S
1313_20587,,,,S,,,S,,,S,,R
1313_30216,,,,,,,R,,S,,,
1313_23884,,,,S,,,S,,,S,,R
1313_32571,,,,R,,,R,,R,,,R
1313_33315,,,,S,,,,,,,,
1313_20499,,,,S,,,S,,,S,,S
1313_32474,,,,S,,,S,,S,S,,S
1313_25134,,,,S,,,,,,,,
1313_32891,,,,R,,,,,,,,R
1313_20950,,,,R,,,R,,R,S,,R
1313_25225,,,,,,,S,,S,S,,R
1313_27300,,,,S,,,S,,S,S,,S
1313_23785,,,,R,,,S,,,S,,S
1313_34024,,,,R,,,R,,S,,,R
1313_11074,,S,,S,,,,,,,,
1313_46901,,S,S,S,,S,S,,,S,,S
1313_32762,,,,S,,,S,,S,S,,R
1313_12797,,S,,R,,,,,,,,
1313_10800,,S,,R,,,,,,,,
1313_28059,,,,,,,S,,S,S,,
1313_31600,,,,,,,R,,S,,,
1313_12411,,S,,R,,,,,,,,
1313_10720,,S,,R,,,,,,,,
1313_24019,,,,R,,,S,,,S,,R
1313_47251,,R,S,R,,R,R,,,S,,R
1313_10644,,S,,R,,,,,,,,
1313_31873,,,,,,,R,,S,,,R
1313_22995,,,,,,,R,,R,S,,R
1313_11546,,S,,R,,,,,,,,
1313_30544,,,,,,,R,,S,,,
1313_25228,,,,,,,R,,R,R,,R
1313_11533,,S,,R,,,,,,,,
1313_33571,,,,S,,,S,,S,S,,R
1313_12768,,S,,R,,,,,,,,
1313_20292,,,,S,,,S,,R,S,,S
1313_30689,,,,R,,,R,,,S,,
1313_28027,,,,R,,,S,,S,R,,S
1313_31216,,,,R,,,S,,S,S,,S
1313_27993,,,,,,,,,S,R,,
1313_9370,,,,S,,,S,,S,S,,S
1313_23776,,,,R,,,S,,,S,,R
1313_33072,,,,S,,,,,,,,
1313_17433,,,,S,,S,S,,S,,,S
1313_22742,,,,,,,R,,S,,,
1313_6734,,S,,,,,,,,S,,R
1313_27302,,,,S,,,S,,S,S,,S
1313_11916,,S,,R,,,,,,,,
1313_11915,,S,,R,,,,,,,,
1313_22642,,,,S,,,S,,S,S,,R
1313_28044,,,,,,,S,,S,R,,
1313_30507,,,,,,,R,,R,,,
1313_24630,,,,R,,,S,,R,S,,R
1313_33182,,,,,,,S,,,R,,R
1313_17757,,,,S,,,S,,R,S,,R
1313_23817,,,,S,,,S,,R,S,,R
1313_33751,,,,S,,,S,,S,S,,R
1313_26482,,,,R,,,S,,R,S,,R
1313_20642,,,,R,,,S,,,S,,S
1313_10468,,S,,R,,,,,,,,
1313_32629,,,,S,,,,,,,,
1313_10356,,S,,R,,,,,,,,
1313_30938,,,,S,,,S,,S,S,,S
1313_8897,,,,R,,,R,,R,S,,R
1313_32770,,,,R,,,S,,R,R,,R
1313_32941,,,,,,,S,,S,,,R
1313_10339,,S,,R,,,,,,,,
1313_5662,,,,,,,R,,,R,,R
1313_42028,S,S,,S,,S,S,,S,,,S
1313_10732,,S,,R,,,,,,,,
1313_20306,,,,R,,,S,,S,S,,S
1313_25851,,,,S,,,S,,S,S,,S
1313_11020,,S,,S,,,,,,,,
1313_12175,,S,,R,,,,,,,,
1313_20069,,,,S,,,S,,,S,,S
1313_32353,,,,S,,,,,S,,,
1313_24484,,,,S,,,S,,S,S,,S
1313_17371,,,,S,,S,S,,S,,,S
1313_25192,,,,R,,,,,S,,,
1313_26063,,,,R,,,,,S,,,
1313_24721,,,,,,,S,,S,S,,R
1313_31582,,,,,,,R,,S,,,
1313_30842,,,,R,,,S,,R,S,,S
1313_32385,,,,S,,,,,,,,
1313_11606,,S,,R,,,,,,,,
1313_10166,,S,,R,,,,,,,,
1313_11888,,S,,R,,,,,,,,
1313_10306,,S,,S,,,,,,,,
1313_23217,,,,,,,R,,R,,,
1313_10664,,S,,R,,,,,,,,
1313_12108,,S,,R,,,,,,,,
1313_22922,,,,,,,S,,S,S,,R
1313_32855,,,,S,,,S,,S,S,,R
1313_12209,,S,,R,,,,,,,,
1313_32409,,,,S,,,,,,,,
1313_25757,,,,R,,,,,S,,,
1313_47226,,R,S,R,,R,R,,,S,,R
1313_28028,,,,S,,,S,,S,R,,S
1313_25504,,,,R,,,,,,,,
1313_33047,,,,S,,,,,,,,
1313_27281,,,,S,,,S,,S,S,,R
1313_27387,,,,R,,,S,,S,S,,S
1313_10806,,S,,R,,,,,,,,
1313_11632,,S,,R,,,,,,,,
1313_12132,,S,,R,,,,,,,,
1313_11778,,S,,R,,,,,,,,
1313_25849,,,,R,,,,,S,,,
1313_32103,,,,,,,R,,R,R,,R
1313_11812,,S,,R,,,,,,,,
1313_30864,,,,R,,,S,,S,S,,S
1313_10634,,R,,R,,,,,,,,
1313_25226,,,,,,,S,,R,S,,R
1313_46534,,S,S,S,,S,S,,,S,,S
1313_10336,,S,,R,,,,,,,,
1313_9124,,,,S,,,S,,S,S,,S
1313_32728,,,,S,,,,,,,,
1313_6619,,S,,,,,S,,,,,
1313_10008,,S,,R,,,,,,,,
1313_23862,,,,S,,,S,,S,S,,R
1313_6043,,,,,,,R,,,R,,R
1313_32296,,,,S,,,,,,,,
1313_34283,,,,,,,,,S,R,,
1313_33344,,,,R,,,R,,R,S,,R
1313_26790,,,,S,,,S,,S,S,,S
1313_22682,,,,,,,R,,S,,,
1313_5914,,S,,,,,S,,,,,
1313_22030,,,,R,,,R,,R,,,R
1313_11933,,S,,R,,,,,,,,
760780_3,R,R,S,R,S,S,R,,R,S,,S
1313_25951,,,,,,,S,,S,,,R
1313_26750,,,,S,,,S,,S,S,,S
1313_25723,,,,R,,,S,,S,S,,R
1313_8962,,,,R,,,R,,R,S,,R
1313_29954,,,,S,,,S,,S,S,,S
1313_30497,,,,,,,R,,S,,,
1313_23024,,,,,,,S,,R,S,,R
1313_33744,,,,S,,,,,,,,
1313_30364,,,,,,,S,,S,,,
1313_10694,,S,,R,,,,,,,,
1313_12655,,S,,R,,,,,,,,
1313_11358,,S,,R,,,,,,,,
1313_11335,,S,,R,,,,,,,,
1313_25450,,,,R,,,,,,,,R
1313_34291,,,,,,,,,S,R,,
1313_26074,,,,S,,,,,S,,,
1313_10561,,S,,S,,,,,,,,
1313_27347,,,,R,,,S,,S,S,,S
1313_20186,,,,,,,R,,R,,,
1313_10514,,S,,S,,,,,,,,
1313_25753,,,,S,,,,,,,,
1313_32772,,,,S,,,S,,S,S,,R
1313_31453,,,,R,,,S,,,S,,S
1313_33722,,,,R,,,S,,S,S,,R
1313_46946,,S,S,R,,S,S,,,S,,S
1313_30505,,,,,,,R,,S,,,
1313_12869,,S,,R,,,,,,,,
1313_24913,,,,R,,,S,,S,S,,R
1313_11860,,S,,S,,,,,,,,
1313_17393,,,,S,,S,R,,S,,,S
1313_26460,,,,R,,,S,,S,S,,R
1313_30469,,,,,,,S,,S,S,,S
1313_30191,,,,,,,R,,R,,,
1313_12002,,S,,S,,,,,,,,
1313_23675,,,,S,,,S,,S,S,,S
1313_21820,,,,R,,,S,,S,,,R
1313_20364,,,,S,,,S,,R,S,,R
1313_20958,,,,S,,,S,,,S,,S
1313_22060,,,,R,,,S,,R,,,S
1313_10391,,S,,S,,,,,,,,
1313_12978,,R,,S,,,,,,,,
1313_8985,,,,R,,,R,,R,S,,R
1313_11819,,R,,R,,,,,,,,
1313_33765,,,,S,,,,,,,,
1313_26756,,,,S,,,S,,S,S,,S
1313_10940,,S,,R,,,,,,,,
1313_27932,,,,S,,,S,,S,S,,S
1313_8685,,,,S,,,S,,S,S,,S
1313_10126,,S,,R,,,,,,,,
1313_8233,,,,S,,,S,,S,S,,S
1313_46554,,R,S,R,,R,R,,,R,,R
1313_12256,,S,,R,,,,,,,,
1313_20204,,,,R,,,S,,,S,,S
1313_8857,,,,S,,,S,,R,S,,R
1313_22727,,,,,,,R,,S,,,
1313_23842,,,,S,,,R,,,S,,R
1313_31282,,,,R,,,S,,,S,,R
1313_26725,,,,S,,,S,,S,S,,S
1313_10313,,S,,R,,,,,,,,
1313_11207,,S,,R,,,,,,,,
1313_9022,,,,S,,,S,,S,S,,R
1313_23171,,,,,,,S,,S,,,
1313_25070,,,,S,,,,,,,,
1313_12590,,S,,R,,,,,,,,
1313_12656,,R,,R,,,,,,,,
1313_32398,,,,R,,,,,S,R,,R
1313_25732,,,,R,,,S,,S,S,,R
1313_23827,,,,R,,,S,,,S,,R
1313_6720,,,,,,,R,,,R,,S
1313_46787,,S,S,S,,S,S,,,S,,S
1313_23633,,,,S,,,S,,,S,,
1313_20014,,,,S,,,S,,,S,,S
1313_10796,,S,,R,,,,,,,,
1313_10864,,S,,R,,,,,,,,
1313_23132,,,,,,,S,,S,R,,R
1313_34149,,,,S,,,S,,S,S,,S
1313_6113,,R,,,,,,,,S,,R
1313_12323,,S,,R,,,,,,,,
1313_33419,,,,R,,,S,,S,S,,S
1313_5974,,S,,,,,R,,,S,,R
1313_12847,,S,,R,,,,,,,,
1313_11670,,S,,S,,,,,,,,
1313_10995,,S,,R,,,,,,,,
1313_24490,,,,R,,,R,,R,S,,R
1313_30143,,,,R,,,R,,S,S,,R
1313_32319,,,,R,,,,,R,,,
1313_31876,,,,,,,S,,S,,,S
1313_20283,,,,R,,,S,,,S,,S
1313_12141,,S,,R,,,,,,,,
1313_22521,,,,R,,,S,,S,S,,S
1313_25159,,,,,,,S,,S,S,,S
1313_22561,,,,R,,,S,,S,,,R
1313_30000,,,,R,,,S,,S,S,,S
1313_34157,,,,R,,,S,,R,S,,S
1313_27096,,,,R,,,,,R,,,
1313_34344,,,,R,,,R,,R,R,,R
1313_25655,,,,S,,,,,,,,
1313_9160,,,,R,,,R,,R,S,,S
1313_31834,,,,,,,S,,S,,,S
1313_10096,,S,,S,,,,,,,,
1313_32949,,,,,,,S,,S,,,R
1313_11187,,S,,R,,,,,,,,
1313_46599,,S,S,R,,S,R,,,S,,R
1313_24764,,,,,,,S,,S,S,,R
1313_47167,,R,S,S,,S,R,,,S,,S
1313_6966,,,,,,,,S,,,S,
1313_26696,,,,S,,,S,,S,S,,R
1313_30606,,,,,,,R,,R,,,
1313_32815,,,,R,,,R,,R,S,,R
1313_12390,,S,,R,,,,,,,,
1313_30212,,,,,,,R,,S,,,
1313_47141,,S,S,R,,R,R,,,S,,R
1313_31057,,,,S,,,S,,S,S,,S
1313_33061,,,,S,,,,,,,,
1313_46976,,S,S,R,,S,S,,,S,,S
1313_8758,,,,S,,,S,,S,S,,R
1313_31001,,,,R,,,S,,S,S,,S
1313_21569,,,,R,,,,,S,,,
1313_10048,,S,,R,,,,,,,,
1313_27478,,,,R,,,S,,R,,,S
1313_10218,,S,,S,,,,,,,,
1313_11846,,S,,R,,,,,,,,
1313_24060,,,,R,,,S,,,S,,R
1313_25751,,,,S,,,S,,,S,,R
1313_24349,,,,,,,S,,S,,,
1313_9090,,,,S,,,S,,S,S,,R
1313_24979,,,,R,,,,,,,,
1313_8232,,,,S,,,S,,S,S,,S
1313_6851,,S,,,,,S,,,,,S
1313_12356,,S,,R,,,,,,,,
1313_30576,,,,,,,S,,S,,,
1313_32926,,,,,,,S,,S,,,R
1313_46821,,R,S,R,,R,R,,,S,,R
1313_32348,,,,S,,,,,,,,R
1313_10702,,S,,S,,,,,,,,
1313_19990,,,,,,,R,,S,,,
1313_12717,,S,,R,,,,,,,,
1313_31012,,,,R,,,S,,S,S,,S
1313_12563,,S,,R,,,,,,,,
1313_24402,,,,,,,R,,S,,,R
1313_32745,,,,S,,,S,,S,S,,R
1313_23674,,,,S,,,S,,,S,,S
1313_26673,,,,S,,,S,,S,S,,R
1313_22130,,,,S,,,S,,S,,,R
1313_5902,,,,,,,R,,,R,,R
1313_47234,,R,S,R,,R,R,,,S,,R
1313_31605,,,,,,,R,,S,,,
1313_12312,,S,,S,,,,,,,,
1313_26024,,,,R,,,S,,S,,,R
1313_23517,,,,S,,,R,,S,S,,R
1313_12402,,S,,R,,,,,,,,
1313_23339,,,,R,,,R,,,S,,
1313_46790,,R,S,R,,R,R,,,S,,R
1313_27194,,,,R,,,S,,S,S,,S
1313_20495,,,,S,,,S,,R,S,,S
1313_10053,,S,,R,,,,,,,,
1313_12212,,S,,R,,,,,,,,
1313_30678,,,,R,,,S,,,S,,
1313_28011,,,,R,,,S,,S,S,,S
1313_20096,,,,S,,,S,,S,S,,S
1313_26080,,,,R,,,,,S,,,
1313_32137,,,,,,,S,,S,S,,R
1313_5501,,S,,,,,S,,,,,
1313_26095,,,,S,,,,,,,,
1313_32411,,,,S,,,,,,,,
1313_11330,,S,,R,,,,,,,,
1313_25617,,,,S,,,,,,,,
1313_31209,,,,R,,,S,,S,S,,R
1313_17315,,,,S,,S,S,,S,,,S
1313_32887,,,,R,,,S,,S,,,R
1313_10637,,S,,R,,,,,,,,
1313_21764,,,,S,,,S,,S,,,S
1313_11531,,S,,S,,,,,,,,
1313_25839,,,,S,,,R,,R,S,,S
1313_12439,,S,,R,,,,,,,,
1313_33070,,,,S,,,,,,,,
1313_32173,,,,R,,,R,,R,R,,R
1313_10137,,S,,R,,,,,,,,
1313_32677,,,,R,,,,,R,,,
1313_26593,,,,R,,,S,,R,S,,R
1313_30889,,,,S,,,S,,S,S,,S
1313_34306,,,,,,,,,R,R,,
1313_11121,,S,,R,,,,,,,,
1313_34175,,,,R,,,S,,S,S,,S
1313_34311,,,,,,,,,S,R,,
1313_25105,,,,S,,,,,,,,
1313_46896,,S,S,S,,S,S,,,S,,S
1313_20436,,,,R,,,S,,R,S,,S
1313_32850,,,,S,,,R,,S,S,,S
1313_30675,,,,R,,,R,,,S,,
1313_32746,,,,R,,,S,,S,S,,R
1313_32961,,,,,,,S,,S,,,R
1313_12721,,S,,R,,,,,,,,
1313_22733,,,,,,,R,,S,,,
1313_32166,,,,R,,,S,,S,S,,S
1313_31589,,,,,,,R,,S,,,
1313_6241,,S,,,,,R,,,S,,R
1313_24039,,,,S,,,S,,R,S,,R
1313_12294,,S,,R,,,,,,,,
1313_24450,,,,S,,,R,,S,R,,
1313_12620,,S,,R,,,,,,,,
1313_32710,,,,S,,,,,,,,
1313_25508,,,,R,,,R,,S,,,R
1313_11131,,S,,S,,,,,,,,
1313_12110,,S,,S,,,,,,,,
1313_12248,,S,,R,,,,,,,,
1313_11110,,S,,S,,,,,,,,
1313_20058,,,,,,,R,,R,,,
1313_11043,,S,,R,,,,,,,,
1313_10316,,S,,R,,,,,,,,
1313_26571,,,,S,,,S,,S,S,,R
1313_20160,,,,R,,,R,,R,S,,R
1313_11053,,S,,R,,,,,,,,
1313_46712,,R,S,R,,S,R,,,S,,R
1313_10570,,S,,R,,,,,,,,
1313_23762,,,,S,,,S,,,S,,R
1313_25000,,,,R,,,,,S,,,
1313_33777,,,,R,,,,,S,,,
1313_23351,,,,R,,,R,,,S,,
1313_32324,,,,R,,,,,,,,
1313_47162,,R,S,S,,S,R,,,S,,S
1313_11889,,S,,R,,,,,,,,
1313_24181,,,,,,,S,,,S,,S
1313_25044,,,,R,,,R,,R,,,
1313_27099,,,,S,,,S,,S,R,,R
1313_25629,,,,S,,,,,,,,
1313_6863,,S,,,,,S,,,,,
1313_23637,,,,S,,,S,,,R,,R
1313_31195,,,,S,,,S,,,S,,S
1313_24740,,,,,,,S,,R,S,,R
1313_23610,,,,R,,,S,,,R,,R
1313_12972,,S,,R,,,,,,,,
1313_5440,,S,,,,,R,,,S,,R
1313_22088,,,,R,,,S,,S,,,S
1313_24314,,,,S,,,S,,R,S,,S
1313_46649,,S,S,S,,S,S,,,S,,S
1313_10987,,S,,R,,,,,,,,
1313_24143,,,,,,,R,,S,,,
1313_20057,,,,,,,R,,R,,,
1313_31271,,,,S,,,S,,,S,,S
1313_28036,,,,,,,S,,S,R,,
1313_10831,,S,,R,,,,,,,,
1313_28042,,,,,,,S,,S,S,,
1313_25515,,,,S,,,,,,,,
1313_24711,,,,,,,S,,S,S,,R
1313_25562,,,,S,,,,,,,,
1313_46889,,S,S,S,,S,S,,,S,,S
1313_22851,,,,R,,,S,,S,S,,R
1313_31657,,,,,,,S,,,S,,S
1313_22937,,,,,,,S,,S,S,,R
1313_10389,,S,,S,,,,,,,,
1313_12818,,S,,R,,,,,,,,
1313_20015,,,,,,,R,,S,,,
1313_20214,,,,S,,,S,,,S,,S
1313_32435,,,,,,,S,,R,S,,R
1313_12628,,S,,R,,,,,,,,
1313_34352,,,,R,,,R,,S,R,,R
1313_32157,,,,R,,,R,,R,S,,R
1313_11471,,S,,S,,,,,,,,
1313_32467,,,,S,,,,,,,,
1313_24723,,,,,,,S,,R,S,,S
1313_32909,,,,,,,S,,S,,,R
1313_20341,,,,S,,,S,,R,S,,S
1313_11887,,S,,R,,,,,,,,
1313_11175,,S,,R,,,,,,,,
1313_27119,,,,S,,,S,,S,S,,R
1313_33726,,,,S,,,S,,S,S,,R
1313_30557,,,,,,,R,,S,,,
1313_30345,,,,,,,S,,S,S,,R
1313_47268,,S,S,R,,S,S,,,S,,S
1313_26705,,,,S,,,S,,S,S,,S
1313_23136,,,,,,,R,,R,S,,R
1313_5677,,R,,,,,R,,,,,S
1313_23625,,,,R,,,S,,S,S,,R
1313_20539,,,,S,,,S,,R,S,,S
1313_11712,,S,,S,,,,,,,,
1313_46721,,S,S,S,,S,R,,,S,,S
1313_6555,,S,,,,,S,,,,,S
1313_25570,,,,R,,,,,S,,,
1313_25625,,,,R,,,,,R,,,
1313_24724,,,,,,,R,,R,S,,R
1313_12254,,S,,R,,,,,,,,
1313_11810,,S,,R,,,,,,,,
1313_30358,,,,,,,S,,R,S,,R
1313_10182,,S,,S,,,,,,,,
1313_12327,,S,,R,,,,,,,,
1313_27913,,,,S,,,S,,S,S,,S
1313_11684,,S,,R,,,,,,,,
1313_10600,,S,,S,,,,,,,,
1313_25408,,,,S,,,S,,S,S,,S
1313_21768,,,,S,,,S,,S,,,S
1313_31994,,,,S,,,S,,S,S,,S
1313_10470,,S,,R,,,,,,,,
1313_11801,,S,,R,,,,,,,,
1313_13001,,S,,R,,,,,,,,
1313_12446,,S,,R,,,,,,,,
1313_5618,,S,,,,,S,,,S,,S
1313_12790,,S,,S,,,,,,,,
1313_24953,,,,,,,S,,,S,,R
1313_30659,,,,R,,,S,,,S,,
1313_46742,,S,S,R,,S,R,,,S,,S
1313_9165,,,,S,,,R,,S,S,,S
1313_31775,,,,R,,,S,,R,S,,S
1313_12692,,S,,R,,,,,,,,
1313_30676,,,,R,,,S,,,S,,
1313_22709,,,,,,,R,,S,,,
1313_6170,,R,,,,,S,,,,,S
1313_6632,,S,,,,,S,,,,,
1313_12354,,S,,R,,,,,,,,
1313_9274,,,,R,,,R,,R,S,,R
1313_46909,,R,S,S,,S,R,,,S,,S
1313_22639,,,,R,,,S,,S,,,R
1313_22897,,,,,,,R,,S,,,
1313_30087,,,,R,,,S,,S,,,S
1313_27251,,,,S,,,S,,S,S,,S
1313_46600,,S,S,S,,R,R,,,S,,R
1313_10912,,S,,S,,,,,,,,
1313_8827,,,,S,,,S,,S,S,,R
1313_11623,,S,,S,,,,,,,,
1313_6201,,,,,,,R,,,R,,R
1313_31955,,,,S,,,S,,S,S,,S
1313_20034,,,,,,,R,,S,,,
1313_6374,,S,,,,,,,,S,,R
1313_10209,,S,,R,,,,,,,,
1313_12541,,R,,R,,,,,,,,
1313_21030,,,,S,,,S,,R,S,,S
1313_10699,,S,,S,,,,,,,,
1313_32394,,,,S,,,,,,,,
1313_31610,,,,,,,R,,S,,,
1313_21552,,,,R,,,,,,,,
1313_20647,,,,R,,,S,,,S,,S
1313_12386,,S,,R,,,,,,,,
1313_12154,,S,,R,,,,,,,,
1313_6455,,,,,,,R,,,R,,R
1313_25452,,,,R,,,,,,,,
1313_12015,,S,,R,,,,,,,,
1313_9269,,,,R,,,S,,R,S,,S
1313_13070,,S,,R,,,,,,,,
1313_12473,,S,,R,,,,,,,,
1313_30208,,,,,,,R,,R,,,
1313_9080,,,,S,,,S,,R,S,,R
1313_11856,,S,,R,,,,,,,,
1313_24824,,,,R,,,R,,R,S,,R
1313_27681,,,,R,,,S,,S,S,,S
1313_31656,,,,,,,,,,R,,S
1313_20655,,,,S,,,S,,,S,,S
1313_12648,,S,,R,,,,,,,,
1313_23854,,,,S,,,S,,S,S,,R
1313_24719,,,,,,,R,,R,S,,R
1313_34284,,,,,,,,,S,S,,
1313_30482,,,,,,,R,,S,,,
1313_32791,,,,R,,,R,,S,S,,R
1313_34266,,,,,,,,,S,S,,
1313_11962,,S,,R,,,,,,,,
1313_9996,,S,,R,,,,,,,,
1313_25465,,,,R,,,,,,,,
1313_25434,,,,S,,,,,,,,
1313_25561,,,,S,,,,,,,,
1313_11360,,S,,R,,,,,,,,
1313_12264,,S,,S,,,,,,,,
1313_46917,,S,S,S,,R,R,,,S,,R
1313_32776,,,,R,,,,,,,,
1313_25953,,,,,,,S,,S,,,R
1313_11286,,S,,R,,,,,,,,
1313_24705,,,,,,,S,,S,S,,R
1313_11447,,S,,S,,,,,,,,
1313_31236,,,,S,,,S,,S,S,,S
1313_26638,,,,R,,,S,,S,S,,R
1313_33838,,,,S,,,S,,S,S,,S
1313_33660,,,,R,,,S,,S,S,,S
1313_33888,,,,S,,,S,,S,S,,S
1313_10683,,S,,R,,,,,,,,
1313_11291,,S,,S,,,,,,,,
1313_47108,,S,S,S,,S,S,,,S,,S
1313_12427,,S,,S,,,,,,,,
1313_23742,,,,R,,,S,,,S,,S
1313_20159,,,,,,,R,,S,,,
1313_25040,,,,R,,,,,R,,,
1313_23013,,,,,,,S,,S,S,,R
1313_20596,,,,R,,,R,,R,S,,R
1313_10059,,S,,R,,,,,,,,
1313_11014,,S,,R,,,,,,,,
1313_46847,,R,S,S,,S,R,,,S,,S
1313_31961,,,,R,,,R,,R,S,,S
1313_23493,,,,S,,,S,,S,S,,S
1313_10355,,S,,R,,,,,,,,
1313_23869,,,,R,,,S,,,S,,R
1313_31593,,,,,,,R,,R,,,
1313_33027,,,,R,,,,,S,R,,R
1313_10101,,R,,R,,,,,,,,
1313_23088,,,,,,,S,,,S,,R
1313_10297,,S,,S,,,,,,,,
1313_10976,,S,,R,,,,,,,,
1313_11249,,S,,R,,,,,,,,
1069628_3,R,R,,R,S,S,R,,R,S,S,R
1313_11282,,S,,R,,,,,,,,
1313_26938,,,,R,,,S,,S,S,,S
1313_22705,,,,,,,R,,R,,,
1313_6594,,S,,,,,S,,,,,
1313_31913,,,,S,,,S,,S,R,,S
1313_10667,,S,,R,,,,,,,,
1313_32972,,,,,,,S,,,,,R
1313_26714,,,,R,,,R,,R,S,,R
1313_32831,,,,S,,,S,,S,S,,S
1313_10882,,S,,R,,,,,,,,
1313_12107,,S,,R,,,,,,,,
1313_6261,,R,,,,,R,,,S,,R
1313_22618,,,,R,,,S,,R,,,S
1313_12803,,R,,R,,,,,,,,
1313_32905,,,,,,,S,,S,,,R
